Rank,Movies Name,Movies Year,Movies Rate,🔗Movies page site
Top rated movie #103,Double Indemnity,((1944)),8.2,imdb.com/title/tt0036775/
Top rated movie #104,A Clockwork Orange,((1971)),8.2,imdb.com/title/tt0066921/
Top rated movie #105,Full Metal Jacket,((1987)),8.2,imdb.com/title/tt0093058/
Top rated movie #106,Scarface,((1983)),8.2,imdb.com/title/tt0086250/
Top rated movie #107,Hamilton,((2020)),8.2,imdb.com/title/tt8503618/
Top rated movie #108,Incendies,((2010)),8.2,imdb.com/title/tt1255953/
Top rated movie #109,Heat,((1995)),8.2,imdb.com/title/tt0113277/
Top rated movie #110,Up,((2009)),8.2,imdb.com/title/tt1049413/
Top rated movie #111,To Kill a Mockingbird,((1962)),8.2,imdb.com/title/tt0056592/
Top rated movie #112,The Sting,((1973)),8.2,imdb.com/title/tt0070735/
Top rated movie #113,Jodaeiye Nader az Simin,((2011)),8.2,imdb.com/title/tt1832382/
Top rated movie #114,Metropolis,((1927)),8.2,imdb.com/title/tt0017136/
Top rated movie #115,L.A. Confidential,((1997)),8.2,imdb.com/title/tt0119488/
Top rated movie #116,Die Hard,((1988)),8.2,imdb.com/title/tt0095016/
Top rated movie #117,Taxi Driver,((1976)),8.2,imdb.com/title/tt0075314/
Top rated movie #118,Indiana Jones and the Last Crusade,((1989)),8.2,imdb.com/title/tt0097576/
Top rated movie #119,Snatch,((2000)),8.2,imdb.com/title/tt0208092/
Top rated movie #120,Ladri di biciclette,((1948)),8.2,imdb.com/title/tt0040522/
Top rated movie #121,Taare Zameen Par,((2007)),8.2,imdb.com/title/tt0986264/
Top rated movie #122,1917,((2019)),8.2,imdb.com/title/tt8579674/
Top rated movie #123,Top Gun: Maverick,((2022)),8.2,imdb.com/title/tt1745960/
Top rated movie #124,Der Untergang,((2004)),8.2,imdb.com/title/tt0363163/
Top rated movie #125,Dangal,((2016)),8.2,imdb.com/title/tt5074352/
Top rated movie #126,Per qualche dollaro in più,((1965)),8.2,imdb.com/title/tt0059578/
Top rated movie #127,Batman Begins,((2005)),8.2,imdb.com/title/tt0372784/
Top rated movie #128,The Kid,((1921)),8.2,imdb.com/title/tt0012349/
Top rated movie #129,Some Like It Hot,((1959)),8.2,imdb.com/title/tt0053291/
Top rated movie #130,The Father,((2020)),8.2,imdb.com/title/tt10272386/
Top rated movie #131,All About Eve,((1950)),8.2,imdb.com/title/tt0042192/
Top rated movie #132,The Wolf of Wall Street,((2013)),8.2,imdb.com/title/tt0993846/
Top rated movie #133,Green Book,((2018)),8.2,imdb.com/title/tt6966692/
Top rated movie #134,Judgment at Nuremberg,((1961)),8.2,imdb.com/title/tt0055031/
Top rated movie #135,Ran,((1985)),8.2,imdb.com/title/tt0089881/
Top rated movie #136,Casino,((1995)),8.2,imdb.com/title/tt0112641/
Top rated movie #137,The Truman Show,((1998)),8.2,imdb.com/title/tt0120382/
Top rated movie #138,There Will Be Blood,((2007)),8.2,imdb.com/title/tt0469494/
Top rated movie #139,Pan's Labyrinth,((2006)),8.2,imdb.com/title/tt0457430/
Top rated movie #140,Unforgiven,((1992)),8.2,imdb.com/title/tt0105695/
Top rated movie #141,The Sixth Sense,((1999)),8.2,imdb.com/title/tt0167404/
Top rated movie #142,Shutter Island,((2010)),8.2,imdb.com/title/tt1130884/
Top rated movie #143,Jurassic Park,((1993)),8.2,imdb.com/title/tt0107290/
Top rated movie #144,A Beautiful Mind,((2001)),8.2,imdb.com/title/tt0268978/
Top rated movie #145,Yôjinbô,((1961)),8.1,imdb.com/title/tt0055630/
Top rated movie #146,The Treasure of the Sierra Madre,((1948)),8.1,imdb.com/title/tt0040897/
Top rated movie #147,Monty Python and the Holy Grail,((1975)),8.1,imdb.com/title/tt0071853/
Top rated movie #148,No Country for Old Men,((2007)),8.1,imdb.com/title/tt0477348/
Top rated movie #149,Kill Bill: Vol. 1,((2003)),8.1,imdb.com/title/tt0266697/
Top rated movie #150,The Great Escape,((1963)),8.1,imdb.com/title/tt0057115/
Top rated movie #151,Rashômon,((1950)),8.1,imdb.com/title/tt0042876/
Top rated movie #152,The Thing,((1982)),8.1,imdb.com/title/tt0084787/
Top rated movie #153,Finding Nemo,((2003)),8.1,imdb.com/title/tt0266543/
Top rated movie #154,Spider-Man: No Way Home,((2021)),8.1,imdb.com/title/tt10872600/
Top rated movie #155,The Elephant Man,((1980)),8.1,imdb.com/title/tt0080678/
Top rated movie #156,Chinatown,((1974)),8.1,imdb.com/title/tt0071315/
Top rated movie #157,V for Vendetta,((2005)),8.1,imdb.com/title/tt0434409/
Top rated movie #158,Raging Bull,((1980)),8.1,imdb.com/title/tt0081398/
Top rated movie #159,Gone with the Wind,((1939)),8.1,imdb.com/title/tt0031381/
Top rated movie #160,Dial M for Murder,((1954)),8.1,imdb.com/title/tt0046912/
Top rated movie #161,"Lock, Stock and Two Smoking Barrels",((1998)),8.1,imdb.com/title/tt0120735/
Top rated movie #162,Inside Out,((2015)),8.1,imdb.com/title/tt2096673/
Top rated movie #163,Hauru no ugoku shiro,((2004)),8.1,imdb.com/title/tt0347149/
Top rated movie #164,El secreto de sus ojos,((2009)),8.1,imdb.com/title/tt1305806/
Top rated movie #165,"Three Billboards Outside Ebbing, Missouri",((2017)),8.1,imdb.com/title/tt5027774/
Top rated movie #166,Trainspotting,((1996)),8.1,imdb.com/title/tt0117951/
Top rated movie #167,The Bridge on the River Kwai,((1957)),8.1,imdb.com/title/tt0050212/
Top rated movie #168,Prisoners,((2013)),8.1,imdb.com/title/tt1392214/
Top rated movie #169,Fargo,((1996)),8.1,imdb.com/title/tt0116282/
Top rated movie #170,Warrior,((2011)),8.1,imdb.com/title/tt1291584/
Top rated movie #171,Gran Torino,((2008)),8.1,imdb.com/title/tt1205489/
Top rated movie #172,Catch Me If You Can,((2002)),8.1,imdb.com/title/tt0264464/
Top rated movie #173,Tonari no Totoro,((1988)),8.1,imdb.com/title/tt0096283/
Top rated movie #174,Million Dollar Baby,((2004)),8.1,imdb.com/title/tt0405159/
Top rated movie #175,Bacheha-Ye aseman,((1997)),8.1,imdb.com/title/tt0118849/
Top rated movie #176,Blade Runner,((1982)),8.1,imdb.com/title/tt0083658/
Top rated movie #177,The Gold Rush,((1925)),8.1,imdb.com/title/tt0015864/
Top rated movie #178,Klaus,((2019)),8.1,imdb.com/title/tt4729430/
Top rated movie #179,Harry Potter and the Deathly Hallows: Part 2,((2011)),8.1,imdb.com/title/tt1201607/
Top rated movie #180,Before Sunrise,((1995)),8.1,imdb.com/title/tt0112471/
Top rated movie #181,12 Years a Slave,((2013)),8.1,imdb.com/title/tt2024544/
Top rated movie #182,Ben-Hur,((1959)),8.1,imdb.com/title/tt0052618/
Top rated movie #183,The Grand Budapest Hotel,((2014)),8.1,imdb.com/title/tt2278388/
Top rated movie #184,On the Waterfront,((1954)),8.1,imdb.com/title/tt0047296/
Top rated movie #185,Gone Girl,((2014)),8.1,imdb.com/title/tt2267998/
Top rated movie #186,Smultronstället,((1957)),8.1,imdb.com/title/tt0050986/
Top rated movie #187,The General,((1926)),8.1,imdb.com/title/tt0017925/
Top rated movie #188,Barry Lyndon,((1975)),8.1,imdb.com/title/tt0072684/
Top rated movie #189,In the Name of the Father,((1993)),8.1,imdb.com/title/tt0107207/
Top rated movie #190,John Wick: Chapter 4,((2023)),8.1,imdb.com/title/tt10366206/
Top rated movie #191,The Deer Hunter,((1978)),8.1,imdb.com/title/tt0077416/
Top rated movie #192,Hacksaw Ridge,((2016)),8.1,imdb.com/title/tt2119532/
Top rated movie #193,The Third Man,((1949)),8.1,imdb.com/title/tt0041959/
Top rated movie #194,Le salaire de la peur,((1953)),8.1,imdb.com/title/tt0046268/
Top rated movie #195,Salinui chueok,((2003)),8.1,imdb.com/title/tt0353969/
Top rated movie #196,Relatos salvajes,((2014)),8.1,imdb.com/title/tt3011894/
Top rated movie #197,Sherlock Jr.,((1924)),8.1,imdb.com/title/tt0015324/
Top rated movie #198,Mr. Smith Goes to Washington,((1939)),8.1,imdb.com/title/tt0031679/
Top rated movie #199,Mad Max: Fury Road,((2015)),8.1,imdb.com/title/tt1392190/
Top rated movie #200,Mary and Max.,((2009)),8.1,imdb.com/title/tt0978762/
Top rated movie #201,How to Train Your Dragon,((2010)),8.1,imdb.com/title/tt0892769/
Top rated movie #202,Det sjunde inseglet,((1957)),8.1,imdb.com/title/tt0050976/
Top rated movie #203,"Monsters, Inc.",((2001)),8.1,imdb.com/title/tt0198781/
Top rated movie #204,Dead Poets Society,((1989)),8.1,imdb.com/title/tt0097165/
Top rated movie #205,Jaws,((1975)),8.1,imdb.com/title/tt0073195/
Top rated movie #206,Room,((2015)),8.1,imdb.com/title/tt3170832/
Top rated movie #207,The Big Lebowski,((1998)),8.1,imdb.com/title/tt0118715/
Top rated movie #208,Tôkyô monogatari,((1953)),8.1,imdb.com/title/tt0046438/
Top rated movie #209,La passion de Jeanne d'Arc,((1928)),8.1,imdb.com/title/tt0019254/
Top rated movie #210,Ford v Ferrari,((2019)),8.1,imdb.com/title/tt1950186/
Top rated movie #211,Hotel Rwanda,((2004)),8.0,imdb.com/title/tt0395169/
Top rated movie #212,Rocky,((1976)),8.0,imdb.com/title/tt0075148/
